_id,Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
147,20200309,S08000022,NHS Highland,0,0,0,0,0,0,0,8,89,27.73795425,8,0,0,0,8,0,,:,,:,0,0
148,20200309,S08000024,NHS Lothian,3,10,1.095902421,1.095902421,0,0,0,102,491,53.80880886,136,8,5.882352941,5.205479452,136,0,,:,,:,8,0
149,20200309,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,7,31.25,1,0,0,0,1,0,,:,,:,0,0
150,20200309,S08000026,NHS Shetland,4,6,26.23524268,,0,0,0,4,9,39.35286401,16,6,37.5,,16,0,,:,,:,6,0
151,20200309,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,4,15.09433962,0,0,0,0,0,0,,:,,:,0,0
152,20200309,S08000029,NHS Fife,1,3,0.801860316,0.801860316,0,0,0,4,110,29.40154492,7,1,14.28571429,7.352941176,7,0,,:,,:,1,0
153,20200309,S08000030,NHS Tayside,3,4,0.960268875,0.720201656,0,0,0,10,161,38.65082223,22,6,27.27272727,6.790123457,22,0,,:,,:,6,0
154,20200309,S08000031,NHS Greater Glasgow and Clyde,3,6,0.506226587,0.506226587,0,0,0,63,603,50.875772,119,9,7.56302521,3.472222222,119,0,,:,,:,9,0
155,20200309,S08000032,NHS Lanarkshire,0,3,0.453199589,0.453199589,0,0,0,21,238,35.95383407,41,3,7.317073171,5.529953917,41,0,,:,,:,3,0
156,20200309,S92000003,Scotland,16,46,0.841566045,0.750091475,0,0,0,287,2357,43.12111233,453,39,8.609271523,5.416248746,453,0,18,,,:,39,0
157,20200310,S08000015,NHS Ayrshire and Arran,1,4,1.086986059,0.815239545,0,0,0,17,152,41.30547026,25,1,4,3.361344538,25,0,,:,,:,1,0
158,20200310,S08000016,NHS Borders,0,1,0.867754252,0.867754252,0,0,0,8,70,60.74279764,12,0,0,2.325581395,12,0,,:,,:,0,0
159,20200310,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,13,120,80.92251669,17,0,0,0,17,0,,:,,:,0,0
160,20200310,S08000019,NHS Forth Valley,5,8,2.614977282,1.961232962,0,0,0,21,206,67.33566502,45,10,22.22222222,11.79245283,45,0,,:,,:,10,0
161,20200310,S08000020,NHS Grampian,1,8,1.366236871,0.853898045,0,0,0,6,162,27.66629664,32,9,28.125,18.91891892,32,0,,:,,:,9,0
162,20200310,S08000022,NHS Highland,1,1,0.311662407,0.311662407,0,0,0,15,104,32.41289036,20,1,5,1.470588235,20,0,,:,,:,1,0
163,20200310,S08000024,NHS Lothian,2,12,1.315082905,1.315082905,0,0,0,114,605,66.30209646,155,6,3.870967742,5.296610169,155,0,,:,,:,6,0
164,20200310,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,8,35.71428571,1,0,0,0,1,0,,:,,:,0,0
165,20200310,S08000026,NHS Shetland,5,11,48.09794491,48.09794491,0,0,0,4,13,56.8430258,9,5,55.55555556,39.39393939,9,0,,:,,:,5,0
166,20200310,S08000028,NHS Western Isles,0,0,0,0,0,0,0,3,7,26.41509434,4,0,0,0,4,0,,:,,:,0,0
167,20200310,S08000029,NHS Fife,0,3,0.801860316,0.801860316,0,0,0,16,126,33.67813327,25,0,0,6.25,25,0,,:,,:,0,0
168,20200310,S08000030,NHS Tayside,0,4,0.960268875,0.720201656,0,0,0,15,176,42.25183051,35,2,5.714285714,6.875,35,0,,:,,:,2,0
169,20200310,S08000031,NHS Greater Glasgow and Clyde,5,11,0.928082076,0.843710978,0,0,0,90,693,58.4691708,147,8,5.442176871,3.993855607,147,0,,:,,:,8,0
170,20200310,S08000032,NHS Lanarkshire,1,4,0.604266119,0.604266119,0,0,0,35,273,41.24116261,61,5,8.196721311,6.995884774,61,0,,:,,:,5,0
171,20200310,S92000003,Scotland,21,67,1.225759239,1.079399927,0,0,0,358,2715,49.67069155,588,47,7.993197279,6.492374728,588,0,29,,,:,47,0
172,20200311,S08000015,NHS Ayrshire and Arran,0,4,1.086986059,0.815239545,0,0,0,32,184,50.00135873,46,0,0,2,46,0,,:,,:,0,0
173,20200311,S08000016,NHS Borders,1,2,1.735508504,1.735508504,0,0,0,17,87,75.49461992,26,4,15.38461538,7.575757576,26,0,,:,,:,4,0
174,20200311,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,17,137,92.38653989,23,0,0,0,23,0,,:,,:,0,0
175,20200311,S08000019,NHS Forth Valley,0,8,2.614977282,1.634360801,0,0,0,18,224,73.21936391,35,1,2.857142857,10.28037383,35,0,,:,,:,1,0
176,20200311,S08000020,NHS Grampian,0,8,1.366236871,0.512338827,0,0,0,15,177,30.22799078,30,1,3.333333333,14.92537313,30,0,,:,,:,1,0
177,20200311,S08000022,NHS Highland,1,2,0.623324815,0.623324815,0,0,0,25,129,40.20445054,34,1,2.941176471,2.127659574,34,0,,:,,:,1,0
178,20200311,S08000024,NHS Lothian,6,18,1.972624358,1.863034115,0,0,0,102,707,77.48030115,194,18,9.278350515,6.63507109,194,0,,:,,:,18,0
179,20200311,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,8,35.71428571,0,0,0,0,0,0,,:,,:,0,0
180,20200311,S08000026,NHS Shetland,0,11,48.09794491,48.09794491,0,0,0,3,16,69.96064714,10,1,10,33.33333333,10,0,,:,,:,1,0
